title,price,localisation,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description,site,date,superficie_m2,grappe,region,ville,commune,quartier,Avec_eau,Avec_electricite,Materiaux_en_dur,Toilettes_internes,cours_commune,quartier_chic,nb_pieces_classe,code_var 2014,wifi,jardin,meubler,climatisation,garage,balcon,sécuriser,étage,parking,douche,séjour,équiper,placard,salle,manger,bureau,piscine,gardien,électrogène,four,cinéma,ascenseur,double vitrage,terrasse,toilette,buanderie,chauffe,cuisine,bord_de_mer,forêt,parc,montagne,rivière,lac,zone_commerciale,pharmacie,restaurant,bar,ambassade,école,hôpital,commodités,externalités_naturelles,externalités_artificielles
location appartement abidjan  - immeuble haribo riviera 3,1400000.0,abidjan -,appartement,4,1,2024-07-04 09:26:34,aici,https://aici.ci/fr/immobiliers/location-appartement-abidjan-immeuble-haribo-riviera-3,"location appartement abidjan  - immeuble haribo riviera 3   appartement 4 pièce(s)   grand appartement de 5 pièces , dans un immeuble sécurisé avec 2 places de parking .     les + du bien  air conditionné, fenêtres coulissantes, groupe électrogène, internet, alarme incendie, ascenseur, gardien, interphone, porte blindée, cuisinière, four, four à micro-ondes      services à proximité aéroport, centre ville, commerces, crèche, école primaire, école secondaire",aici.ci,2024-07-04,,abidjan,abidjan,abidjan,,,1,1,1,1,0,0,4 pièces et plus,401000002,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1
location maison abidjan ena (cite des cadres) - 2 plateaux  quartier ena,3000000.0,abidjan -,duplex,5,1,2024-07-04 09:26:37,aici,https://aici.ci/fr/immobiliers/location-maison-abidjan-ena-cite-des-cadres-2-plateaux-quartier-ena,"location maison abidjan ena (cite des cadres) - 2 plateaux  quartier ena   maison 5 pièce(s)   belle villa duplex de 5 pieces dont 4 chambres autonomes, 1 grand sejour ,dependance , garage, guerite , piscine et pool house . dans un quartier residentiel non loin de commerces et des ecoles internationales     les + du bien  double vitrage, fenêtres coulissantes, abri de voiture, éclairage extérieur, piscine      services à proximité centre ville, cinéma, commerces, crèche, école primaire, école secondaire, golf, hôpital/clinique, médecin, salle de sport, supermarché, taxi",aici.ci,2024-07-04,,abidjan,abidjan,abidjan,cocody,golf,1,1,1,1,0,1,4 pièces et plus,401000006,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
location appartement abidjan plateau - appartement bellevue,1700000.0,abidjan -,appartement,4,1,2024-07-04 09:26:40,aici,https://aici.ci/fr/immobiliers/location-appartement-abidjan-plateau-appartement-bellevue,"location appartement abidjan plateau - appartement bellevue   appartement 4 pièce(s)   bel appartement de 4 pièces à l'immeuble bellevue au plateau entièrement rénové et climatisé .     les + du bien  air conditionné, fenêtres coulissantes, internet, ascenseur, fibre optique, gardien, porte blindée      services à proximité centre ville, cinéma, commerces, crèche, école primaire, école secondaire, hôpital/clinique, médecin, supermarché",aici.ci,2024-07-04,,abidjan,abidjan,abidjan,le plateau,plateau centre,1,1,1,1,0,1,4 pièces et plus,401000002,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
location maison abidjan riviera 4 residentielle - villa à la riviera golf,5500000.0,abidjan -,villa,7,1,2024-07-04 09:26:42,aici,https://aici.ci/fr/immobiliers/location-maison-abidjan-riviera-4-residentielle-villa-la-riviera-golf,"location maison abidjan riviera 4 residentielle - villa à la riviera golf   maison 7 pièce(s)   au résidence les flamboyants , magnifique villa de 7 pièces avec un studio indépendant , une dépendance , une piscine , une guérite . résidence sécurisée . avec gpe électrogène et réserve d'eau loyer : 5 500 000 f/cfa:tcc/mois     les + du bien  air conditionné, double vitrage, fenêtres coulissantes, groupe électrogène, internet, volets roulants électriques, éclairage extérieur, fibre optique, maison de gardien, digicode, gardien, portail électrique, porte blindée, vidéo surveillance, piscine, four à micro-ondes, lave-vaisselle, plaque de cuisson, réfrigérateur      services à proximité aéroport, centre ville, commerces, crèche, école primaire, école secondaire, , golf, hôpital/clinique, médecin, supermarché, tennis, université",aici.ci,2024-07-04,,abidjan,abidjan,abidjan,cocody,golf,1,1,1,1,0,1,4 pièces et plus,401000010,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
location appartement abidjan cocody - appartement à cocody canebiére,1500000.0,abidjan -,appartement,3,1,2024-07-04 09:26:44,aici,https://aici.ci/fr/immobiliers/location-appartement-abidjan-cocody-appartement-cocody-canebiere,"location appartement abidjan cocody - appartement à cocody canebiére   appartement 3 pièce(s)   appartement de 3 pièces à cocody canebière , dans une résidence sécurisée avec piscine , terrains de tennis et jardin arboré. place de parking en s/sol. loyer : 1 500 000 f/cfa/tcc/mois     les + du bien  air conditionné, double vitrage, fenêtres coulissantes, groupe électrogène, éclairage extérieur, ascenseur, fibre optique, gardien, portail électrique, piscine, tennis",aici.ci,2024-07-04,,abidjan,abidjan,abidjan,cocody,,1,1,1,1,0,0,2 et 3 pièces,401000002,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
location appartement abidjan perles i - appartement à la résidence mamida,2200000.0,abidjan -,appartement,4,1,2024-07-04 09:26:46,aici,https://aici.ci/fr/immobiliers/location-appartement-abidjan-perles-i-appartement-la-residence-mamida,"location appartement abidjan perles i - appartement à la résidence mamida   appartement 4 pièce(s)   appartement équipé de 4 pièces au 2 plateaux vallon , avec piscine , salle de sport , ascenseur et places de parking loyer : 2 200 000 cfa/mois     les + du bien  air conditionné, double vitrage, fenêtres coulissantes, éclairage extérieur, alarme incendie, ascenseur, fibre optique, gardien, interphone, portail électrique, piscine, four, four à micro-ondes, lave-linge, réfrigérateur      services à proximité aéroport, bus, centre ville, cinéma, commerces, école primaire, école secondaire, , hôpital/clinique, supermarché",aici.ci,2024-07-04,,abidjan,abidjan,abidjan,cocody,vallon,1,1,1,1,0,1,4 pièces et plus,401000002,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
location appartement abidjan zone 4c - résidence gudis,1500000.0,abidjan -,appartement,4,1,2024-07-04 09:26:52,aici,https://aici.ci/fr/immobiliers/location-appartement-abidjan-zone-4c-residence-gudis,"location appartement abidjan zone 4c - résidence gudis   appartement 4 pièce(s)   belle résidence arborée , avec piscine , terrain de tennis proposant des logements de 3 pièces et 4 pièces . loyer de 750 000 cfa à 1 500 000 cfa / mois     les + du bien  abri de voiture, éclairage extérieur, alarme incendie, ascenseur, fibre optique, gardien, piscine, tennis, terrain de jeux      services à proximité aéroport, bus, cinéma, commerces, crèche, école primaire, école secondaire, , hôpital/clinique, médecin, salle de sport, supermarché, université",aici.ci,2024-07-04,,abidjan,abidjan,abidjan,marcory,zone 4,1,1,1,1,0,1,4 pièces et plus,401000002,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
location appartement abidjan riviera 4 residentielle - résidence chocolat,2000000.0,abidjan -,appartement,3,1,2024-07-04 09:26:55,aici,https://aici.ci/fr/immobiliers/location-appartement-abidjan-riviera-4-residentielle-residence-chocolat,"location appartement abidjan riviera 4 residentielle - résidence chocolat   appartement 3 pièce(s)   magnifique appartement de 3 pièces, équipé au rez de jardin , avec une grande terrasse aménagée , salle de sport dans la résidence , groupe électrogène , bâche à eau , cave et 2 places de parking     les + du bien  air conditionné, double vitrage, fenêtres coulissantes, groupe électrogène, internet, volets roulants électriques, éclairage extérieur, alarme incendie, fibre optique, alarme, digicode, gardien, interphone, portail électrique, porte blindée, vidéo surveillance, cuisinière, four, four à micro-ondes, lave-linge, lave-vaisselle, réfrigérateur, sèche-linge      services à proximité aéroport, cinéma, commerces, crèche, école primaire, école secondaire, , golf, hôpital/clinique, médecin, salle de sport, supermarché, tennis, université",aici.ci,2024-07-04,,abidjan,abidjan,abidjan,cocody,golf,1,1,1,1,0,1,2 et 3 pièces,401000002,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1
location maison abidjan marcory - villa marcory résidentiel,4000000.0,abidjan - riviera 4 residentielle,villa,6,1,2024-07-08 15:50:06,aici,https://aici.ci/fr/immobiliers/location-maison-abidjan-marcory-villa-marcory-residentiel,"location maison abidjan marcory - villa marcory résidentiel   maison 6 pièce(s)   magnifique villa de 6 pieces et un studio , avec dépendance , piscine , terrasse , groupe électrogène . libre de suite loyer 4 000 000 cfa / mois     les + du bien  air conditionné, fenêtres coulissantes, groupe électrogène, volets roulants électriques, éclairage extérieur, fibre optique, piscine, four à micro-ondes, réfrigérateur      services à proximité aéroport, commerces, crèche, , médecin, salle de sport, supermarché",aici.ci,2024-07-08,,abidjan,abidjan,abidjan,marcory,,1,1,1,1,0,0,4 pièces et plus,401000011,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
villa 6 pieces,1500000.0,"cocody riviera 4, abidjan, cite ciad primo",duplex,6,3,2024-07-04 09:19:56,ikimmobiliercotedivoire,https://batirici-immobilier.com/properties/villa-6-pieces-2/,"cocody riviera 4. cité ciad primo. zone ecole libannaise. une belle villa duplex d’un excellent standing. 6 pieces: 1 sejour/salle a manger 5 chambres autonomes dont 3 avec dressing. toilette visiteurs. 2 cuisines,une africaine et une europeene. splits & chauffe eaux. belle terrasse sur la dalle. une buanderie. une piscine commune. securité h24. pieces spacieuses. toutes commodités. prix du loyer: 1.500.000fcfa conditions: .2.2.1 frais de visite: 5.000fc el2044 : 2734770473 2734770492 : 0779641534 0143228281 watssap email ikimmobilier2017@gmail.com site internet ikimmob.com",batirici-immobilier.com,2024-07-04,300.0,abidjan,abidjan,abidjan,marcory,zone 4,1,1,1,1,0,1,4 pièces et plus,401000006,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
