title,price,localisation,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description,site,date,superficie_m2,grappe,region,ville,commune,quartier,Avec_eau,Avec_electricite,Materiaux_en_dur,Toilettes_internes,cours_commune,quartier_chic,nb_pieces_classe,code_var 2014,wifi,jardin,meubler,climatisation,garage,balcon,sécuriser,étage,parking,douche,séjour,équiper,placard,salle,manger,bureau,piscine,gardien,électrogène,four,cinéma,ascenseur,double vitrage,terrasse,toilette,buanderie,chauffe,cuisine,bord_de_mer,forêt,parc,montagne,rivière,lac,zone_commerciale,pharmacie,restaurant,bar,ambassade,école,hôpital,commodités,externalités_naturelles,externalités_artificielles
location appartement abidjan riviera 4 residentielle - appartement a la résidence chocolat,2200000.0,abidjan - cocody,appartement,3,1,2024-06-20 14:51:31,aici,https://aici.ci/fr/immobiliers/location-appartement-abidjan-riviera-4-residentielle-appartement-la-residence-chocolat,"location appartement abidjan riviera 4 residentielle - appartement a la résidence chocolat   appartement 3 pièce(s)   bel appartement équipé de 3 pièces , lumineux aux volumes généreux , climatisé dans une belle résidence au rez de jardin avec une grande terrasse, sécurisée avec 2 places de parking en sous sol et 1 cave     les + du bien  air conditionné, double vitrage, groupe électrogène, internet, alarme incendie, ascenseur, fibre optique, digicode, gardien, portail électrique, porte blindée, vidéophone, four, lave-linge, lave-vaisselle, réfrigérateur, sèche-linge, fenêtres coulissantes, volets roulants électriques, éclairage extérieur, vidéo surveillance      services à proximité école secondaire, cinéma, commerces, école primaire, médecin, parking public, salle de sport, supermarché, taxi, université, aéroport, centre ville, crèche, , golf",aici.ci,2024-06-20,,abidjan,abidjan,abidjan,cocody,golf,1,1,1,1,0,1,2 et 3 pièces,401000002,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1
location appartement abidjan  - immeuble haribo riviera 3,1400000.0,abidjan - cocody,appartement,4,1,2024-06-20 14:51:39,aici,https://aici.ci/fr/immobiliers/location-appartement-abidjan-immeuble-haribo-riviera-3,"location appartement abidjan  - immeuble haribo riviera 3   appartement 4 pièce(s)   grand appartement de 5 pièces , dans un immeuble sécurisé avec 2 places de parking .     les + du bien  air conditionné, fenêtres coulissantes, groupe électrogène, internet, alarme incendie, ascenseur, gardien, interphone, porte blindée, cuisinière, four, four à micro-ondes      services à proximité aéroport, centre ville, commerces, crèche, école primaire, école secondaire",aici.ci,2024-06-20,,abidjan,abidjan,abidjan,cocody,,1,1,1,1,0,0,4 pièces et plus,401000002,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1
location maison abidjan ena (cite des cadres) - 2 plateaux  quartier ena,3000000.0,abidjan - cocody,duplex,5,1,2024-06-20 14:51:42,aici,https://aici.ci/fr/immobiliers/location-maison-abidjan-ena-cite-des-cadres-2-plateaux-quartier-ena,"location maison abidjan ena (cite des cadres) - 2 plateaux  quartier ena   maison 5 pièce(s)   belle villa duplex de 5 pieces dont 4 chambres autonomes, 1 grand sejour ,dependance , garage, guerite , piscine et pool house . dans un quartier residentiel non loin de commerces et des ecoles internationales     les + du bien  double vitrage, fenêtres coulissantes, abri de voiture, éclairage extérieur, piscine      services à proximité centre ville, cinéma, commerces, crèche, école primaire, école secondaire, golf, hôpital/clinique, médecin, salle de sport, supermarché, taxi",aici.ci,2024-06-20,,abidjan,abidjan,abidjan,cocody,golf,1,1,1,1,0,1,4 pièces et plus,401000006,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
location maison abidjan ii plateaux 7ème tranche - myralis - 2 plateaux,1300000.0,abidjan - cocody,villa,5,1,2024-06-20 14:51:47,aici,https://aici.ci/fr/immobiliers/location-maison-abidjan-ii-plateaux-7eme-tranche-myralis-2-plateaux,"location maison abidjan ii plateaux 7ème tranche - myralis - 2 plateaux   maison 5 pièce(s)   villa 5 pièces , lumineuse , entièrement climatisée, dans une résidence sécurisée. loyer: 1 300 000 cfa ( charges comprises)     les + du bien  abri de voiture, alarme incendie, gardien      services à proximité bus, centre ville, cinéma, commerces, crèche, école primaire, école secondaire, golf, hôpital/clinique, salle de sport, université",aici.ci,2024-06-20,,abidjan,abidjan,abidjan,cocody,golf,1,1,1,1,0,1,4 pièces et plus,401000010,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
location appartement abidjan plateau - appartement bellevue,1700000.0,abidjan - cocody,appartement,4,1,2024-06-20 14:51:50,aici,https://aici.ci/fr/immobiliers/location-appartement-abidjan-plateau-appartement-bellevue,"location appartement abidjan plateau - appartement bellevue   appartement 4 pièce(s)   bel appartement de 4 pièces à l'immeuble bellevue au plateau entièrement rénové et climatisé .     les + du bien  air conditionné, fenêtres coulissantes, internet, ascenseur, fibre optique, gardien, porte blindée      services à proximité centre ville, cinéma, commerces, crèche, école primaire, école secondaire, hôpital/clinique, médecin, supermarché",aici.ci,2024-06-20,,abidjan,abidjan,abidjan,le plateau,plateau centre,1,1,1,1,0,1,4 pièces et plus,401000002,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
location maison abidjan riviera 4 residentielle - villa à la riviera golf,5500000.0,abidjan - riviera 4 residentielle,villa,7,1,2024-06-20 14:52:19,aici,https://aici.ci/fr/immobiliers/location-maison-abidjan-riviera-4-residentielle-villa-la-riviera-golf,"location maison abidjan riviera 4 residentielle - villa à la riviera golf   maison 7 pièce(s)   au résidence les flamboyants , magnifique villa de 7 pièces avec un studio indépendant , une dépendance , une piscine , une guérite . résidence sécurisée . avec gpe électrogène et réserve d'eau loyer : 5 500 000 f/cfa:tcc/mois     les + du bien  air conditionné, double vitrage, fenêtres coulissantes, groupe électrogène, internet, volets roulants électriques, éclairage extérieur, fibre optique, maison de gardien, digicode, gardien, portail électrique, porte blindée, vidéo surveillance, piscine, four à micro-ondes, lave-vaisselle, plaque de cuisson, réfrigérateur      services à proximité aéroport, centre ville, commerces, crèche, école primaire, école secondaire, , golf, hôpital/clinique, médecin, supermarché, tennis, université",aici.ci,2024-06-20,,abidjan,abidjan,abidjan,cocody,golf,1,1,1,1,0,1,4 pièces et plus,401000010,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
location appartement abidjan cocody - appartement à cocody canebiére,1500000.0,abidjan - riviera 4 residentielle,appartement,3,1,2024-06-20 14:52:22,aici,https://aici.ci/fr/immobiliers/location-appartement-abidjan-cocody-appartement-cocody-canebiere,"location appartement abidjan cocody - appartement à cocody canebiére   appartement 3 pièce(s)   appartement de 3 pièces à cocody canebière , dans une résidence sécurisée avec piscine , terrains de tennis et jardin arboré. place de parking en s/sol. loyer : 1 500 000 f/cfa/tcc/mois     les + du bien  air conditionné, double vitrage, fenêtres coulissantes, groupe électrogène, éclairage extérieur, ascenseur, fibre optique, gardien, portail électrique, piscine, tennis",aici.ci,2024-06-20,,abidjan,abidjan,abidjan,cocody,,1,1,1,1,0,0,2 et 3 pièces,401000002,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
location appartement abidjan marcory - residence neptune - marcory,2400000.0,abidjan - riviera 4 residentielle,appartement,4,1,2024-06-20 14:52:24,aici,https://aici.ci/fr/immobiliers/location-appartement-abidjan-marcory-residence-neptune-marcory,"location appartement abidjan marcory - residence neptune - marcory   appartement 4 pièce(s)   bel appartement au 7 -ème étage avec vue panoramique sur la lagune de 4 pièces , entièrement climatisé . 2 places de parking - 1 piscine - groupe électrogène et bâche à eau - résidence sécurisée     les + du bien  air conditionné, double vitrage, fenêtres coulissantes, groupe électrogène, éclairage extérieur, alarme incendie, ascenseur, fibre optique, gardien, interphone, portail électrique, porte blindée, piscine, four, four à micro-ondes, plaque de cuisson      services à proximité aéroport, centre ville, cinéma, commerces, crèche, école primaire, école secondaire, , hôpital/clinique, médecin, supermarché",aici.ci,2024-06-20,,abidjan,abidjan,abidjan,marcory,,1,1,1,1,0,0,4 pièces et plus,401000002,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
location appartement abidjan perles i - appartement à la résidence mamida,2200000.0,abidjan - riviera 4 residentielle,appartement,4,1,2024-06-20 14:52:26,aici,https://aici.ci/fr/immobiliers/location-appartement-abidjan-perles-i-appartement-la-residence-mamida,"location appartement abidjan perles i - appartement à la résidence mamida   appartement 4 pièce(s)   appartement équipé de 4 pièces au 2 plateaux vallon , avec piscine , salle de sport , ascenseur et places de parking loyer : 2 200 000 cfa/mois     les + du bien  air conditionné, double vitrage, fenêtres coulissantes, éclairage extérieur, alarme incendie, ascenseur, fibre optique, gardien, interphone, portail électrique, piscine, four, four à micro-ondes, lave-linge, réfrigérateur      services à proximité aéroport, bus, centre ville, cinéma, commerces, école primaire, école secondaire, , hôpital/clinique, supermarché",aici.ci,2024-06-20,,abidjan,abidjan,abidjan,cocody,vallon,1,1,1,1,0,1,4 pièces et plus,401000002,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
location appartement abidjan zone 4c - résidence gudis,1500000.0,abidjan - riviera 4 residentielle,appartement,4,1,2024-06-20 14:52:29,aici,https://aici.ci/fr/immobiliers/location-appartement-abidjan-zone-4c-residence-gudis,"location appartement abidjan zone 4c - résidence gudis   appartement 4 pièce(s)   belle résidence arborée , avec piscine , terrain de tennis proposant des logements de 3 pièces et 4 pièces . loyer de 750 000 cfa à 1 500 000 cfa / mois     les + du bien  abri de voiture, éclairage extérieur, alarme incendie, ascenseur, fibre optique, gardien, piscine, tennis, terrain de jeux      services à proximité aéroport, bus, cinéma, commerces, crèche, école primaire, école secondaire, , hôpital/clinique, médecin, salle de sport, supermarché, université",aici.ci,2024-06-20,,abidjan,abidjan,abidjan,marcory,zone 4,1,1,1,1,0,1,4 pièces et plus,401000002,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
